shipment_id,order_id,vehicle_id,origin_warehouse,destination_city,destination_postal_code,status,created_at,shipped_at,delivered_at,weight_kg,volume_m3,requires_customs,customs_declaration_id
S001,O001,V003,Basel,Zürich,8001,DELIVERED,2024-01-15 08:00:00,2024-01-15 09:30:00,2024-01-15 14:00:00,120.5,1.8,FALSE,
S002,O002,V007,Zürich,Bern,3001,DELIVERED,2024-01-16 07:30:00,2024-01-16 08:45:00,2024-01-16 12:30:00,85.2,1.2,FALSE,
S003,O005,V012,Bern,Lausanne,1003,DELIVERED,2024-01-18 09:00:00,2024-01-18 10:15:00,2024-01-18 15:00:00,200.0,3.5,FALSE,
S004,O007,V001,Basel,Genève,1201,DELIVERED,2024-01-20 06:00:00,2024-01-20 07:30:00,2024-01-20 16:00:00,340.8,5.2,FALSE,
S005,O010,V015,Zürich,Lugano,6900,DELIVERED,2024-01-22 08:30:00,2024-01-22 10:00:00,2024-01-22 18:00:00,95.3,1.5,FALSE,
S006,O012,V004,Basel,Konstanz,78462,DELIVERED,2024-01-24 07:00:00,2024-01-24 08:30:00,2024-01-24 14:00:00,150.0,2.3,TRUE,CD001
S007,O015,V009,Zürich,Feldkirch,6800,DELIVERED,2024-01-26 08:00:00,2024-01-26 09:15:00,2024-01-26 13:30:00,78.6,1.1,TRUE,CD002
S008,O018,V002,Bern,Luzern,6003,DELIVERED,2024-01-28 09:30:00,2024-01-28 10:45:00,2024-01-28 14:00:00,220.4,3.8,FALSE,
S009,O020,V011,Basel,St. Gallen,9000,DELIVERED,2024-01-30 07:00:00,2024-01-30 08:30:00,2024-01-30 15:00:00,180.0,2.9,FALSE,
S010,O023,V006,Zürich,Winterthur,8400,DELIVERED,2024-02-01 08:00:00,2024-02-01 08:45:00,2024-02-01 11:00:00,45.7,0.6,FALSE,
S011,O025,V018,Bern,Thun,3600,DELIVERED,2024-02-03 09:00:00,2024-02-03 09:45:00,2024-02-03 12:00:00,60.3,0.9,FALSE,
S012,O028,V005,Basel,Freiburg im Breisgau,79098,DELIVERED,2024-02-05 06:30:00,2024-02-05 08:00:00,2024-02-05 14:30:00,290.5,4.5,TRUE,CD003
S013,O030,V014,Zürich,Chur,7000,DELIVERED,2024-02-07 08:30:00,2024-02-07 10:00:00,2024-02-07 16:00:00,110.2,1.7,FALSE,
S014,O033,V008,Bern,Fribourg,1700,DELIVERED,2024-02-09 09:00:00,2024-02-09 09:45:00,2024-02-09 12:30:00,55.8,0.8,FALSE,
S015,O035,V020,Basel,Aarau,5000,DELIVERED,2024-02-11 07:30:00,2024-02-11 08:30:00,2024-02-11 11:00:00,175.3,2.7,FALSE,
S016,O038,V010,Zürich,Schaffhausen,8200,DELIVERED,2024-02-13 08:00:00,2024-02-13 09:00:00,2024-02-13 12:00:00,88.9,1.3,FALSE,
S017,O040,V003,Basel,Mulhouse,68100,DELIVERED,2024-02-15 06:00:00,2024-02-15 07:30:00,2024-02-15 13:00:00,310.0,4.8,TRUE,CD004
S018,O042,V016,Bern,Solothurn,4500,DELIVERED,2024-02-17 09:30:00,2024-02-17 10:15:00,2024-02-17 12:30:00,42.1,0.5,FALSE,
S019,O045,V007,Zürich,Baden,5400,DELIVERED,2024-02-19 08:00:00,2024-02-19 08:45:00,2024-02-19 11:00:00,130.7,2.0,FALSE,
S020,O048,V013,Basel,Olten,4600,DELIVERED,2024-02-21 07:00:00,2024-02-21 07:45:00,2024-02-21 10:30:00,95.4,1.4,FALSE,
S021,O050,V001,Zürich,Rapperswil-Jona,8640,DELIVERED,2024-02-23 08:30:00,2024-02-23 09:30:00,2024-02-23 12:00:00,68.2,1.0,FALSE,
S022,O052,V019,Bern,Biel/Bienne,2502,DELIVERED,2024-02-25 09:00:00,2024-02-25 09:45:00,2024-02-25 12:00:00,155.0,2.4,FALSE,
S023,O055,V004,Basel,Lörrach,79539,DELIVERED,2024-02-27 06:30:00,2024-02-27 08:00:00,2024-02-27 13:00:00,205.3,3.2,TRUE,CD005
S024,O058,V011,Zürich,Frauenfeld,8500,DELIVERED,2024-03-01 08:00:00,2024-03-01 09:00:00,2024-03-01 12:00:00,72.6,1.1,FALSE,
S025,O060,V015,Bern,Interlaken,3800,DELIVERED,2024-03-03 09:30:00,2024-03-03 10:30:00,2024-03-03 14:00:00,48.9,0.7,FALSE,
S026,O062,V002,Basel,Delémont,2800,DELIVERED,2024-03-05 07:00:00,2024-03-05 08:00:00,2024-03-05 11:30:00,185.7,2.8,FALSE,
S027,O065,V009,Zürich,Zug,6300,DELIVERED,2024-03-07 08:00:00,2024-03-07 08:45:00,2024-03-07 10:30:00,92.1,1.4,FALSE,
S028,O068,V017,Bern,Neuchâtel,2000,DELIVERED,2024-03-09 09:00:00,2024-03-09 10:00:00,2024-03-09 13:00:00,140.5,2.1,FALSE,
S029,O070,V006,Basel,Liestal,4410,DELIVERED,2024-03-11 07:30:00,2024-03-11 08:15:00,2024-03-11 10:00:00,35.2,0.4,FALSE,
S030,O073,V012,Zürich,Schwyz,6430,DELIVERED,2024-03-13 08:30:00,2024-03-13 09:30:00,2024-03-13 12:30:00,115.8,1.8,FALSE,
S031,O075,V003,Bern,Sion,1950,IN_TRANSIT,2024-03-15 06:00:00,2024-03-15 07:30:00,,260.0,4.0,FALSE,
S032,O078,V014,Basel,Bellinzona,6500,IN_TRANSIT,2024-03-17 07:00:00,2024-03-17 08:30:00,,195.3,3.0,FALSE,
S033,O080,V020,Zürich,Davos,7270,IN_TRANSIT,2024-03-19 08:00:00,2024-03-19 09:30:00,,78.4,1.2,FALSE,
S034,O082,V008,Bern,Spiez,3700,IN_TRANSIT,2024-03-20 09:00:00,2024-03-20 10:00:00,,145.6,2.2,FALSE,
S035,O085,V005,Basel,Rheinfelden,4310,IN_TRANSIT,2024-03-21 07:30:00,2024-03-21 08:15:00,,230.1,3.6,FALSE,
S036,O088,V010,Zürich,Wil,9500,PICKED_UP,2024-03-22 08:00:00,2024-03-22 09:00:00,,55.9,0.8,FALSE,
S037,O090,V016,Bern,Langenthal,4900,PICKED_UP,2024-03-22 09:30:00,2024-03-22 10:30:00,,82.3,1.2,FALSE,
S038,O092,V001,Basel,Weil am Rhein,79576,CUSTOMS_HOLD,2024-03-22 06:00:00,2024-03-22 07:30:00,,350.0,5.5,TRUE,CD006
S039,O095,V018,Zürich,Uster,8610,PICKED_UP,2024-03-23 08:00:00,2024-03-23 08:45:00,,38.7,0.5,FALSE,
S040,O097,V007,Bern,Burgdorf,3400,PICKED_UP,2024-03-23 09:00:00,2024-03-23 09:45:00,,105.4,1.6,FALSE,
S041,O003,V013,Basel,Zürich,8005,CREATED,2024-03-23 14:00:00,,,160.2,2.5,FALSE,
S042,O008,V019,Zürich,Basel,4001,CREATED,2024-03-23 14:30:00,,,88.6,1.3,FALSE,
S043,O014,V004,Bern,Genève,1205,CREATED,2024-03-23 15:00:00,,,275.0,4.2,TRUE,CD007
S044,O022,V011,Basel,Luzern,6005,CREATED,2024-03-24 07:00:00,,,135.9,2.1,FALSE,
S045,O027,V002,Zürich,Bern,3008,CREATED,2024-03-24 07:30:00,,,98.3,1.5,FALSE,
S046,O032,V015,Basel,Chiasso,6830,RETURNED,2024-02-10 08:00:00,2024-02-10 09:30:00,2024-02-15 16:00:00,45.2,0.6,TRUE,CD008
S047,O037,V009,Zürich,Appenzell,9050,RETURNED,2024-02-20 08:30:00,2024-02-20 09:45:00,2024-02-25 14:00:00,22.8,0.3,FALSE,
S048,O044,V017,Bern,Nyon,1260,DELIVERED,2024-03-01 09:00:00,2024-03-01 10:15:00,2024-03-01 15:00:00,170.5,2.6,FALSE,
S049,O056,V006,Basel,Brugg,5200,DELIVERED,2024-03-10 07:00:00,2024-03-10 08:00:00,2024-03-10 11:00:00,62.4,0.9,FALSE,
S050,O099,V012,Zürich,Kreuzlingen,8280,IN_TRANSIT,2024-03-22 08:00:00,2024-03-22 09:30:00,,125.7,1.9,TRUE,CD009
